order_id,order_date,customer_id,customer_age,customer_city,category,product,quantity,unit_price,total_price,order_month,day_of_week
ORD-000016,2024-05-10,CUST-1281,59,İstanbul,Elektronik,Şiir,1,2566.32,2566.32,2024-05,Friday
ORD-000017,2024-05-29,CUST-3844,51,Ankara,Giyim,Vazo,4,2082.06,8328.24,2024-05,Wednesday
ORD-000018,2024-11-04,CUST-4072,49,Ankara,Kitap,Perde,3,4337.34,13012.02,2024-11,Monday
ORD-000019,2024-09-14,CUST-3166,62,İstanbul,Elektronik,Yoga Matı,2,3724.98,7449.96,2024-09,Saturday
ORD-000020,2024-12-09,CUST-2058,38,Antalya,Kitap,Perde,4,4747.43,18989.72,2024-12,Monday
ORD-000021,2024-10-20,CUST-1197,63,Diğer,Giyim,Mont,3,4703.6,14110.8,2024-10,Sunday
ORD-000022,2024-07-10,CUST-3532,61,İzmir,Ev & Yaşam,Ayna,3,1942.51,5827.53,2024-07,Wednesday
ORD-000023,2024-10-03,CUST-4828,38,Adana,Giyim,Mont,3,2262.58,6787.74,2024-10,Thursday
ORD-000024,2024-06-09,CUST-2082,61,İstanbul,Giyim,Koşu Bandı,1,1317.13,1317.13,2024-06,Sunday
ORD-000025,2024-11-09,CUST-3884,28,Ankara,Giyim,Şiir,2,3320.21,6640.42,2024-11,Saturday
ORD-000026,2024-01-22,CUST-2184,56,İstanbul,Spor,Nemlendirici,4,1854.48,7417.92,2024-01,Monday
ORD-000027,2024-09-09,CUST-2008,21,Bursa,Kitap,Elbise,2,3941.2,7882.4,2024-09,Monday
ORD-000028,2024-08-23,CUST-3738,18,Diğer,Kitap,Ders Kitabı,2,651.68,1303.36,2024-08,Friday
ORD-000029,2024-12-10,CUST-2229,45,Antalya,Kozmetik,Şiir,4,626.19,2504.76,2024-12,Tuesday
ORD-000030,2024-02-18,CUST-2035,41,İstanbul,Kitap,Mont,2,1062.05,2124.1,2024-02,Sunday
ORD-000031,2024-02-28,CUST-1489,52,Ankara,Kozmetik,Yoga Matı,1,467.25,467.25,2024-02,Wednesday
ORD-000032,2024-06-18,CUST-1275,30,İzmir,Spor,Tablet,4,3119.16,12476.64,2024-06,Tuesday
ORD-000033,2024-07-06,CUST-3740,64,Ankara,Ev & Yaşam,Şiir,4,779.4,3117.6,2024-07,Saturday
ORD-000034,2024-09-27,CUST-3289,51,Kayseri,Kozmetik,Şiir,3,841.82,2525.46,2024-09,Friday
ORD-000035,2024-07-08,CUST-2239,28,Gaziantep,Giyim,Halter Seti,2,120.43,240.86,2024-07,Monday
ORD-000036,2024-06-23,CUST-2274,53,Bursa,Ev & Yaşam,Halter Seti,4,3921.35,15685.4,2024-06,Sunday
ORD-000037,2024-02-20,CUST-4882,34,Ankara,Spor,Halı,4,4070.87,16283.48,2024-02,Tuesday
ORD-000038,2024-12-29,CUST-1125,52,İstanbul,Kitap,Yoga Matı,1,852.01,852.01,2024-12,Sunday
ORD-000039,2024-02-24,CUST-1216,35,İstanbul,Kozmetik,Ders Kitabı,3,3710.65,11131.95,2024-02,Saturday
ORD-000040,2024-08-31,CUST-4377,57,Ankara,Giyim,Mont,4,2196.05,8784.2,2024-08,Saturday
ORD-000041,2024-11-15,CUST-4868,39,Ankara,Elektronik,Smartwatch,1,1235.99,1235.99,2024-11,Friday
ORD-000042,2024-05-10,CUST-2208,41,Antalya,Elektronik,Halı,4,3125.85,12503.4,2024-05,Friday
ORD-000043,2024-11-02,CUST-4110,36,Antalya,Ev & Yaşam,Mont,4,933.5,3734.0,2024-11,Saturday
ORD-000044,2024-05-14,CUST-2246,54,İstanbul,Kitap,Kulaklık,4,3796.57,15186.28,2024-05,Tuesday
ORD-000045,2024-01-21,CUST-4255,56,Ankara,Elektronik,Laptop,1,285.7,285.7,2024-01,Sunday
ORD-000046,2024-11-24,CUST-3542,38,İstanbul,Ev & Yaşam,Kulaklık,2,4797.7,9595.4,2024-11,Sunday
ORD-000047,2024-06-15,CUST-3474,25,İstanbul,Spor,Ruj,4,405.78,1623.12,2024-06,Saturday
ORD-000048,2024-09-30,CUST-4249,45,Kayseri,Ev & Yaşam,Mont,4,2918.27,11673.08,2024-09,Monday
ORD-000049,2024-03-29,CUST-1918,22,İstanbul,Ev & Yaşam,Halı,2,4515.86,9031.72,2024-03,Friday
ORD-000050,2024-11-11,CUST-4499,34,Ankara,Ev & Yaşam,Perde,4,108.93,435.72,2024-11,Monday
ORD-000051,2024-01-14,CUST-2317,54,İstanbul,Giyim,Tablet,3,2517.65,7552.95,2024-01,Sunday
ORD-000052,2024-08-29,CUST-4923,53,Eskişehir,Ev & Yaşam,Mont,4,1782.53,7130.12,2024-08,Thursday
ORD-000053,2024-09-21,CUST-3198,36,İzmir,Kozmetik,Maskara,3,2922.64,8767.92,2024-09,Saturday
ORD-000054,2024-12-11,CUST-3431,44,İstanbul,Ev & Yaşam,Smartwatch,2,1166.01,2332.02,2024-12,Wednesday
ORD-000055,2024-02-22,CUST-2661,51,İzmir,Giyim,Bisiklet,1,371.25,371.25,2024-02,Thursday
ORD-000056,2024-12-05,CUST-4884,28,Adana,Giyim,Perde,2,3148.37,6296.74,2024-12,Thursday
ORD-000057,2024-04-01,CUST-1307,62,Diğer,Spor,Ders Kitabı,4,2113.4,8453.6,2024-04,Monday
ORD-000058,2024-09-20,CUST-2359,64,İstanbul,Kitap,Laptop,3,3131.3,9393.9,2024-09,Friday
ORD-000059,2024-02-04,CUST-2969,29,Diğer,Elektronik,Bisiklet,1,1092.17,1092.17,2024-02,Sunday
ORD-000060,2024-07-24,CUST-3793,38,Diğer,Elektronik,Lambader,4,1726.77,6907.08,2024-07,Wednesday
ORD-000061,2024-03-21,CUST-1891,28,Diğer,Ev & Yaşam,Parfüm,1,2830.32,2830.32,2024-03,Thursday
ORD-000062,2024-02-19,CUST-1374,56,Bursa,Spor,Ayakkabı,1,2985.91,2985.91,2024-02,Monday
ORD-000063,2024-12-25,CUST-4079,45,Bursa,Ev & Yaşam,Ayna,4,1892.96,7571.84,2024-12,Wednesday
ORD-000064,2024-01-02,CUST-3033,22,Ankara,Elektronik,Ayakkabı,2,1436.26,2872.52,2024-01,Tuesday
ORD-000065,2024-02-23,CUST-2364,34,Konya,Giyim,Mont,4,1404.82,5619.28,2024-02,Friday
ORD-000066,2024-04-15,CUST-1128,37,İzmir,Kitap,Maskara,4,914.76,3659.04,2024-04,Monday
ORD-000067,2024-09-16,CUST-2014,58,Antalya,Spor,Güneş Kremi,2,1660.75,3321.5,2024-09,Monday
ORD-000068,2024-11-05,CUST-2799,63,Ankara,Giyim,Smartwatch,3,1037.23,3111.69,2024-11,Tuesday
ORD-000069,2024-07-09,CUST-3716,29,Adana,Kitap,Kulaklık,4,3187.39,12749.56,2024-07,Tuesday
ORD-000070,2024-08-05,CUST-4423,23,Kayseri,Spor,Halı,1,2866.88,2866.88,2024-08,Monday
ORD-000071,2024-02-13,CUST-2381,34,İstanbul,Spor,Güneş Kremi,4,1943.81,7775.24,2024-02,Tuesday
ORD-000072,2024-06-10,CUST-1516,36,Kayseri,Elektronik,Halter Seti,4,1662.86,6651.44,2024-06,Monday
ORD-000073,2024-07-20,CUST-2518,43,İzmir,Giyim,Ayna,1,1226.19,1226.19,2024-07,Saturday
ORD-000074,2024-09-26,CUST-1085,61,Kayseri,Spor,Bilim Kurgu,2,2700.52,5401.04,2024-09,Thursday
ORD-000075,2024-12-16,CUST-2198,61,Ankara,Kozmetik,Ayakkabı,3,4598.57,13795.71,2024-12,Monday
ORD-000076,2024-10-30,CUST-4873,49,Ankara,Spor,Elbise,3,3444.23,10332.69,2024-10,Wednesday
ORD-000077,2024-09-27,CUST-4264,23,Diğer,Kitap,Smartwatch,1,3734.85,3734.85,2024-09,Friday
ORD-000078,2024-08-02,CUST-3358,53,İstanbul,Elektronik,Koşu Bandı,2,4180.17,8360.34,2024-08,Friday
ORD-000079,2024-09-08,CUST-2142,55,Kayseri,Ev & Yaşam,Güneş Kremi,4,1790.59,7162.36,2024-09,Sunday
ORD-000080,2024-07-08,CUST-4289,28,Ankara,Elektronik,Maskara,4,361.24,1444.96,2024-07,Monday
ORD-000081,2024-10-22,CUST-3474,50,İzmir,Ev & Yaşam,Laptop,4,3131.67,12526.68,2024-10,Tuesday
ORD-000082,2024-07-31,CUST-2993,41,İstanbul,Giyim,Şiir,4,983.93,3935.72,2024-07,Wednesday
ORD-000083,2024-07-26,CUST-4485,40,İzmir,Giyim,Halı,4,2866.77,11467.08,2024-07,Friday
ORD-000084,2024-08-24,CUST-3161,32,İstanbul,Spor,Ayna,1,3710.58,3710.58,2024-08,Saturday
ORD-000085,2024-12-03,CUST-4216,44,İstanbul,Kozmetik,Yoga Matı,4,3929.01,15716.04,2024-12,Tuesday
ORD-000086,2024-02-22,CUST-4609,28,İstanbul,Giyim,Kulaklık,4,1544.1,6176.4,2024-02,Thursday
ORD-000087,2024-10-06,CUST-4719,34,İstanbul,Spor,Smartwatch,2,2586.54,5173.08,2024-10,Sunday
ORD-000088,2024-08-04,CUST-1302,31,Diğer,Elektronik,Bilim Kurgu,4,3123.78,12495.12,2024-08,Sunday
ORD-000089,2024-09-08,CUST-3791,44,Diğer,Giyim,Ayna,3,4106.43,12319.29,2024-09,Sunday
ORD-000090,2024-07-06,CUST-4952,35,Ankara,Elektronik,Smartwatch,1,3818.87,3818.87,2024-07,Saturday
ORD-000091,2024-02-10,CUST-1587,45,Adana,Elektronik,Güneş Kremi,1,4940.48,4940.48,2024-02,Saturday
ORD-000092,2024-06-05,CUST-1986,64,İstanbul,Kozmetik,Yoga Matı,1,90.02,90.02,2024-06,Wednesday
ORD-000093,2024-01-15,CUST-2863,64,Antalya,Giyim,Halı,3,2215.57,6646.71,2024-01,Monday
ORD-000094,2024-10-27,CUST-1344,21,Gaziantep,Elektronik,Ders Kitabı,4,1317.42,5269.68,2024-10,Sunday
ORD-000095,2024-03-05,CUST-1813,24,Diğer,Kozmetik,Koşu Bandı,1,643.47,643.47,2024-03,Tuesday
ORD-000096,2024-12-10,CUST-2987,62,Ankara,Kozmetik,Ayakkabı,3,4562.0,13686.0,2024-12,Tuesday
ORD-000097,2024-11-22,CUST-3848,52,Gaziantep,Giyim,Nemlendirici,2,4989.91,9979.82,2024-11,Friday
ORD-000098,2024-01-09,CUST-4072,26,İstanbul,Kozmetik,Biyografi,4,943.95,3775.8,2024-01,Tuesday
ORD-000099,2024-12-09,CUST-4218,25,Diğer,Giyim,Halter Seti,3,240.25,720.75,2024-12,Monday
ORD-000100,2024-05-08,CUST-2310,62,İstanbul,Giyim,Smartwatch,4,1411.52,5646.08,2024-05,Wednesday
ORD-000101,2024-05-15,CUST-2999,34,Bursa,Ev & Yaşam,Elbise,2,4182.57,8365.14,2024-05,Wednesday
ORD-000102,2024-03-03,CUST-2677,34,Antalya,Elektronik,Şiir,3,1504.76,4514.28,2024-03,Sunday
ORD-000103,2024-05-18,CUST-4124,50,Antalya,Kitap,Telefon,4,331.66,1326.64,2024-05,Saturday
ORD-000104,2024-03-21,CUST-2327,49,İstanbul,Giyim,Maskara,3,309.84,929.52,2024-03,Thursday
ORD-000105,2024-06-11,CUST-2092,25,Diğer,Elektronik,Mont,1,2165.74,2165.74,2024-06,Tuesday
ORD-000106,2024-10-15,CUST-3408,36,İstanbul,Kozmetik,Halı,4,4662.54,18650.16,2024-10,Tuesday
ORD-000107,2024-09-17,CUST-4673,55,Bursa,Spor,Tablet,3,1465.31,4395.93,2024-09,Tuesday
ORD-000108,2024-08-18,CUST-4291,20,İstanbul,Giyim,Bisiklet,1,2164.43,2164.43,2024-08,Sunday
ORD-000109,2024-02-10,CUST-2009,22,İstanbul,Kozmetik,Bilim Kurgu,2,554.57,1109.14,2024-02,Saturday
ORD-000110,2024-01-28,CUST-1703,30,İzmir,Kozmetik,Kot Pantolon,4,2493.19,9972.76,2024-01,Sunday
ORD-000111,2024-05-14,CUST-1574,64,Ankara,Kozmetik,Kulaklık,4,3497.91,13991.64,2024-05,Tuesday
ORD-000112,2024-07-19,CUST-2608,63,İstanbul,Kozmetik,Vazo,2,1392.19,2784.38,2024-07,Friday
ORD-000113,2024-11-23,CUST-4232,48,İstanbul,Kozmetik,Roman,1,1518.72,1518.72,2024-11,Saturday
ORD-000114,2024-09-24,CUST-4752,33,Ankara,Giyim,Ders Kitabı,2,4217.78,8435.56,2024-09,Tuesday
ORD-000115,2024-02-02,CUST-2112,49,Konya,Kitap,Laptop,4,101.3,405.2,2024-02,Friday
ORD-000116,2024-02-17,CUST-1687,39,Diğer,Ev & Yaşam,Halı,3,3200.53,9601.59,2024-02,Saturday
ORD-000117,2024-03-02,CUST-3828,46,İstanbul,Kozmetik,Nemlendirici,1,1999.73,1999.73,2024-03,Saturday
ORD-000118,2024-08-03,CUST-3632,39,Ankara,Kozmetik,Ruj,1,1526.98,1526.98,2024-08,Saturday
ORD-000119,2024-10-19,CUST-4828,60,İstanbul,Ev & Yaşam,Tişört,1,3305.09,3305.09,2024-10,Saturday
ORD-000120,2024-04-08,CUST-3636,20,İstanbul,Giyim,Smartwatch,2,4181.61,8363.22,2024-04,Monday
ORD-000121,2024-06-20,CUST-4230,27,Antalya,Elektronik,Elbise,2,2814.04,5628.08,2024-06,Thursday
ORD-000122,2024-12-25,CUST-1488,59,Bursa,Spor,Parfüm,3,203.92,611.76,2024-12,Wednesday
ORD-000123,2024-08-01,CUST-4018,38,İstanbul,Spor,Ders Kitabı,3,2333.94,7001.82,2024-08,Thursday
ORD-000124,2024-02-04,CUST-2347,33,İstanbul,Elektronik,Elbise,1,2340.66,2340.66,2024-02,Sunday
ORD-000125,2024-08-14,CUST-4681,29,İstanbul,Giyim,Ayna,3,2741.8,8225.4,2024-08,Wednesday
ORD-000126,2024-04-10,CUST-4452,19,Kayseri,Spor,Futbol Topu,2,3371.25,6742.5,2024-04,Wednesday
ORD-000127,2024-05-10,CUST-4173,58,Diğer,Ev & Yaşam,Parfüm,3,145.63,436.89,2024-05,Friday
ORD-000128,2024-09-13,CUST-1493,41,İstanbul,Elektronik,Güneş Kremi,2,2534.96,5069.92,2024-09,Friday
ORD-000129,2024-01-05,CUST-2667,52,İstanbul,Kitap,Vazo,3,2962.12,8886.36,2024-01,Friday
ORD-000130,2024-08-05,CUST-2637,47,Eskişehir,Giyim,Elbise,4,1749.6,6998.4,2024-08,Monday
ORD-000131,2024-09-11,CUST-1018,47,Diğer,Elektronik,Smartwatch,2,3358.41,6716.82,2024-09,Wednesday
ORD-000132,2024-12-24,CUST-4525,64,Ankara,Spor,Roman,4,1179.48,4717.92,2024-12,Tuesday
ORD-000133,2024-10-09,CUST-4553,52,İstanbul,Giyim,Koşu Bandı,2,1620.99,3241.98,2024-10,Wednesday
ORD-000134,2024-07-25,CUST-4665,36,İstanbul,Ev & Yaşam,Laptop,3,4815.64,14446.92,2024-07,Thursday
ORD-000135,2024-01-15,CUST-3444,25,İzmir,Giyim,Laptop,4,1772.95,7091.8,2024-01,Monday
ORD-000136,2024-12-11,CUST-2000,43,Ankara,Giyim,Vazo,3,1765.18,5295.54,2024-12,Wednesday
ORD-000137,2024-02-11,CUST-4350,57,İstanbul,Ev & Yaşam,Kot Pantolon,2,2998.62,5997.24,2024-02,Sunday
ORD-000138,2024-06-27,CUST-1850,24,İzmir,Kozmetik,Güneş Kremi,4,4856.33,19425.32,2024-06,Thursday
ORD-000139,2024-03-03,CUST-2388,47,İstanbul,Ev & Yaşam,Nemlendirici,1,4916.25,4916.25,2024-03,Sunday
ORD-000140,2024-12-17,CUST-2354,24,Gaziantep,Giyim,Perde,3,2919.31,8757.93,2024-12,Tuesday
ORD-000141,2024-08-18,CUST-4712,20,İstanbul,Ev & Yaşam,Ayakkabı,2,55.38,110.76,2024-08,Sunday
ORD-000142,2024-08-28,CUST-2367,18,İstanbul,Kozmetik,Halı,4,4508.25,18033.0,2024-08,Wednesday
ORD-000143,2024-02-21,CUST-1821,53,İzmir,Elektronik,Parfüm,3,2872.68,8618.04,2024-02,Wednesday
ORD-000144,2024-04-05,CUST-1454,42,Ankara,Ev & Yaşam,Laptop,4,1861.68,7446.72,2024-04,Friday
ORD-000145,2024-08-09,CUST-2624,54,Diğer,Ev & Yaşam,Roman,3,4154.52,12463.56,2024-08,Friday
ORD-000146,2024-08-18,CUST-3772,18,İzmir,Giyim,Kot Pantolon,3,2029.17,6087.51,2024-08,Sunday
ORD-000147,2024-08-24,CUST-4726,32,İstanbul,Elektronik,Bisiklet,3,218.52,655.56,2024-08,Saturday
ORD-000148,2024-05-22,CUST-4136,54,Adana,Kitap,Koşu Bandı,4,4114.31,16457.24,2024-05,Wednesday
ORD-000149,2024-06-19,CUST-4147,30,İstanbul,Kitap,Smartwatch,4,2752.0,11008.0,2024-06,Wednesday
ORD-000150,2024-01-29,CUST-1710,57,Diğer,Spor,Lambader,3,1723.81,5171.43,2024-01,Monday
ORD-000151,2024-02-05,CUST-3190,25,Ankara,Ev & Yaşam,Halı,1,1291.92,1291.92,2024-02,Monday
ORD-000152,2024-01-13,CUST-1916,22,İzmir,Ev & Yaşam,Nemlendirici,1,2989.3,2989.3,2024-01,Saturday
ORD-000153,2024-06-08,CUST-4986,26,İstanbul,Elektronik,Telefon,1,1079.85,1079.85,2024-06,Saturday
ORD-000154,2024-11-22,CUST-3875,18,Ankara,Kozmetik,Parfüm,2,1653.06,3306.12,2024-11,Friday
ORD-000155,2024-07-05,CUST-3652,53,Kayseri,Kitap,Maskara,1,3200.83,3200.83,2024-07,Friday
ORD-000156,2024-08-30,CUST-2496,52,Gaziantep,Spor,Halter Seti,4,4413.65,17654.6,2024-08,Friday
ORD-000157,2024-03-26,CUST-2440,19,İstanbul,Elektronik,Parfüm,1,2687.81,2687.81,2024-03,Tuesday
ORD-000158,2024-10-10,CUST-1304,57,İstanbul,Ev & Yaşam,Güneş Kremi,4,3807.58,15230.32,2024-10,Thursday
ORD-000159,2024-03-06,CUST-1735,40,Gaziantep,Kitap,Futbol Topu,2,3827.15,7654.3,2024-03,Wednesday
ORD-000160,2024-06-18,CUST-4568,26,Diğer,Spor,Lambader,4,3338.55,13354.2,2024-06,Tuesday
ORD-000161,2024-02-14,CUST-3338,51,İstanbul,Giyim,Tişört,4,1266.9,5067.6,2024-02,Wednesday
ORD-000162,2024-03-02,CUST-2963,63,Ankara,Kitap,Ders Kitabı,4,4340.6,17362.4,2024-03,Saturday
ORD-000163,2024-05-13,CUST-3149,31,İstanbul,Spor,Parfüm,1,2209.56,2209.56,2024-05,Monday
ORD-000164,2024-10-10,CUST-3009,21,Eskişehir,Elektronik,Ayakkabı,3,268.84,806.52,2024-10,Thursday
ORD-000165,2024-01-28,CUST-4338,47,İstanbul,Giyim,Koşu Bandı,4,1260.83,5043.32,2024-01,Sunday
ORD-000166,2024-04-17,CUST-3914,48,İstanbul,Spor,Elbise,1,3839.46,3839.46,2024-04,Wednesday
ORD-000167,2024-02-13,CUST-4015,55,Konya,Spor,Biyografi,1,392.21,392.21,2024-02,Tuesday
ORD-000168,2024-12-05,CUST-4693,28,İstanbul,Ev & Yaşam,Kot Pantolon,1,779.45,779.45,2024-12,Thursday
ORD-000169,2024-10-12,CUST-4021,52,Ankara,Kozmetik,Ayakkabı,3,3486.42,10459.26,2024-10,Saturday
ORD-000170,2024-11-26,CUST-3889,25,Ankara,Kitap,Ayakkabı,3,4468.37,13405.11,2024-11,Tuesday
ORD-000171,2024-05-07,CUST-1961,20,İstanbul,Ev & Yaşam,Kot Pantolon,3,3186.97,9560.91,2024-05,Tuesday
ORD-000172,2024-12-13,CUST-3989,31,Ankara,Giyim,Smartwatch,3,1150.34,3451.02,2024-12,Friday
ORD-000173,2024-08-18,CUST-4848,30,İzmir,Kozmetik,Ruj,2,314.4,628.8,2024-08,Sunday
ORD-000174,2024-07-08,CUST-2026,62,İstanbul,Spor,Bisiklet,3,3094.88,9284.64,2024-07,Monday
ORD-000175,2024-08-12,CUST-3132,49,İzmir,Ev & Yaşam,Bilim Kurgu,3,284.62,853.86,2024-08,Monday
ORD-000176,2024-10-09,CUST-4865,51,Gaziantep,Kozmetik,Yoga Matı,3,3082.97,9248.91,2024-10,Wednesday
ORD-000177,2024-04-30,CUST-3375,62,Konya,Kitap,Telefon,4,1166.62,4666.48,2024-04,Tuesday
ORD-000178,2024-04-25,CUST-3863,36,İstanbul,Giyim,Smartwatch,4,4528.05,18112.2,2024-04,Thursday
ORD-000179,2024-08-20,CUST-2473,55,İstanbul,Elektronik,Laptop,3,2401.71,7205.13,2024-08,Tuesday
ORD-000180,2024-09-15,CUST-3501,33,İstanbul,Ev & Yaşam,Güneş Kremi,2,1158.5,2317.0,2024-09,Sunday
ORD-000181,2024-12-24,CUST-2947,19,Ankara,Giyim,Kulaklık,4,4273.07,17092.28,2024-12,Tuesday
ORD-000182,2024-07-16,CUST-3676,57,Ankara,Elektronik,Elbise,1,1307.48,1307.48,2024-07,Tuesday
ORD-000183,2024-05-16,CUST-4292,34,Antalya,Ev & Yaşam,Yoga Matı,4,1567.67,6270.68,2024-05,Thursday
ORD-000184,2024-11-13,CUST-2177,51,İstanbul,Giyim,Vazo,1,4179.68,4179.68,2024-11,Wednesday
ORD-000185,2024-06-13,CUST-1664,59,İstanbul,Giyim,Bilim Kurgu,4,1578.52,6314.08,2024-06,Thursday
ORD-000186,2024-08-12,CUST-1011,33,Ankara,Kozmetik,Kulaklık,3,2080.31,6240.93,2024-08,Monday
ORD-000187,2024-11-02,CUST-2156,55,Antalya,Ev & Yaşam,Yoga Matı,4,1770.95,7083.8,2024-11,Saturday
ORD-000188,2024-08-21,CUST-1303,19,İstanbul,Giyim,Telefon,3,626.18,1878.54,2024-08,Wednesday
ORD-000189,2024-06-20,CUST-4364,19,Bursa,Spor,Parfüm,3,242.53,727.59,2024-06,Thursday
ORD-000190,2024-05-31,CUST-4022,43,İstanbul,Ev & Yaşam,Smartwatch,4,3636.48,14545.92,2024-05,Friday
ORD-000191,2024-11-10,CUST-4371,30,Diğer,Giyim,Smartwatch,1,3243.43,3243.43,2024-11,Sunday
ORD-000192,2024-06-08,CUST-2763,64,Diğer,Kozmetik,Tablet,1,1447.71,1447.71,2024-06,Saturday
ORD-000193,2024-04-05,CUST-3830,48,İstanbul,Elektronik,Smartwatch,4,1513.22,6052.88,2024-04,Friday
ORD-000194,2024-08-20,CUST-1042,51,İstanbul,Elektronik,Roman,3,4727.78,14183.34,2024-08,Tuesday
ORD-000195,2024-06-28,CUST-1943,56,Ankara,Spor,Koşu Bandı,1,4938.97,4938.97,2024-06,Friday
ORD-000196,2024-04-22,CUST-3390,20,İstanbul,Ev & Yaşam,Ruj,2,2393.5,4787.0,2024-04,Monday
ORD-000197,2024-11-13,CUST-2349,25,Antalya,Kozmetik,Telefon,3,4022.14,12066.42,2024-11,Wednesday
ORD-000198,2024-02-21,CUST-4885,40,Kayseri,Giyim,Smartwatch,4,3696.6,14786.4,2024-02,Wednesday
ORD-000199,2024-09-24,CUST-3545,31,Antalya,Giyim,Laptop,3,1521.72,4565.16,2024-09,Tuesday
ORD-000200,2024-10-21,CUST-3411,44,Kayseri,Elektronik,Tablet,2,339.89,679.78,2024-10,Monday
ORD-000201,2024-04-22,CUST-1890,46,Ankara,Kozmetik,Kot Pantolon,2,755.65,1511.3,2024-04,Monday
ORD-000202,2024-04-10,CUST-3474,56,İstanbul,Spor,Ayakkabı,1,4199.56,4199.56,2024-04,Wednesday
ORD-000203,2024-04-22,CUST-2004,56,Adana,Elektronik,Lambader,2,3669.51,7339.02,2024-04,Monday
ORD-000204,2024-03-21,CUST-1020,18,Ankara,Elektronik,Kulaklık,3,3338.46,10015.38,2024-03,Thursday
ORD-000205,2024-07-05,CUST-1406,34,Antalya,Spor,Ayna,1,696.71,696.71,2024-07,Friday
ORD-000206,2024-04-22,CUST-3666,58,İstanbul,Ev & Yaşam,Biyografi,2,3217.66,6435.32,2024-04,Monday
ORD-000207,2024-01-02,CUST-2014,47,İstanbul,Giyim,Perde,1,3872.15,3872.15,2024-01,Tuesday
ORD-000208,2024-05-09,CUST-1335,30,Diğer,Ev & Yaşam,Bisiklet,1,4309.98,4309.98,2024-05,Thursday
ORD-000209,2024-08-07,CUST-2838,38,İstanbul,Kozmetik,Ayakkabı,4,115.49,461.96,2024-08,Wednesday
ORD-000210,2024-02-23,CUST-4188,36,Diğer,Kitap,Kot Pantolon,1,3438.15,3438.15,2024-02,Friday
ORD-000211,2024-12-08,CUST-2147,36,Diğer,Kitap,Telefon,1,144.53,144.53,2024-12,Sunday
ORD-000212,2024-08-11,CUST-3446,42,Gaziantep,Kitap,Laptop,2,3549.02,7098.04,2024-08,Sunday
ORD-000213,2024-08-12,CUST-3840,39,Antalya,Spor,Şiir,3,3196.33,9588.99,2024-08,Monday
ORD-000214,2024-05-05,CUST-2827,48,İzmir,Elektronik,Maskara,3,784.32,2352.96,2024-05,Sunday
ORD-000215,2024-05-09,CUST-1714,34,Eskişehir,Ev & Yaşam,Ders Kitabı,2,3842.3,7684.6,2024-05,Thursday
ORD-000216,2024-02-22,CUST-1050,40,İstanbul,Giyim,Halter Seti,3,388.32,1164.96,2024-02,Thursday
ORD-000217,2024-06-20,CUST-4854,49,Ankara,Kitap,Telefon,1,4140.67,4140.67,2024-06,Thursday
ORD-000218,2024-08-05,CUST-1323,27,Bursa,Ev & Yaşam,Smartwatch,4,1346.55,5386.2,2024-08,Monday
ORD-000219,2024-06-08,CUST-1788,27,Ankara,Kitap,Bilim Kurgu,1,3459.82,3459.82,2024-06,Saturday
ORD-000220,2024-07-16,CUST-1140,53,Ankara,Kitap,Biyografi,1,4622.26,4622.26,2024-07,Tuesday
ORD-000221,2024-09-03,CUST-1469,25,İstanbul,Giyim,Biyografi,4,1732.14,6928.56,2024-09,Tuesday
